research,toefl,intern,greV,greQ,greA,gpa,major,univ,target_univ,admit
0,117.0,2.0,158.0,170.0,4.5,0.9269999999999999,OE,2,Virginia Polytechnic Institute and State University,1
0,105.0,0.0,167.0,168.0,4.0,0.713,EE,3,Virginia Polytechnic Institute and State University,1
0,109.0,0.0,154.0,162.0,3.5,0.8699999999999999,OE,5,Virginia Polytechnic Institute and State University,1
0,114.0,0.0,150.0,170.0,4.0,0.914,OE,2,Virginia Polytechnic Institute and State University,1
0,117.0,0.0,160.0,162.0,4.0,0.9099999999999999,EE,5,Virginia Polytechnic Institute and State University,1
0,101.0,0.0,161.0,170.0,3.5,0.875,CS,4,Virginia Polytechnic Institute and State University,1
0,109.0,0.0,158.0,165.0,3.5,0.8869999999999999,OE,4,Virginia Polytechnic Institute and State University,1
0,112.0,0.0,150.0,170.0,4.0,0.745,CS,3,Virginia Polytechnic Institute and State University,1
0,112.0,0.0,148.0,170.0,4.5,0.75,EE,3,Virginia Polytechnic Institute and State University,1
0,103.0,0.0,168.0,170.0,4.0,0.882,EE,3,Virginia Polytechnic Institute and State University,1
0,112.0,0.0,152.0,165.0,4.5,0.748,OE,3,Virginia Polytechnic Institute and State University,1
7,114.0,2.0,163.0,166.0,4.5,0.8949999999999999,OE,3,Virginia Polytechnic Institute and State University,1
0,114.0,0.0,168.0,170.0,4.0,0.8,EE,3,Virginia Polytechnic Institute and State University,1
0,108.0,0.0,161.0,167.0,4.0,0.8089999999999999,OE,2,Virginia Polytechnic Institute and State University,1
0,115.0,0.0,161.0,170.0,4.5,0.8039999999999999,EE,3,Virginia Polytechnic Institute and State University,1
0,117.0,0.0,168.0,170.0,4.5,0.7822,OE,5,Virginia Polytechnic Institute and State University,1
0,111.0,0.0,162.0,168.0,3.0,0.772,CS,4,Virginia Polytechnic Institute and State University,1
0,110.0,0.0,160.0,170.0,4.0,0.8513999999999999,EE,3,Virginia Polytechnic Institute and State University,1
9,108.0,6.0,156.0,163.0,3.0,0.7,OE,2,Virginia Polytechnic Institute and State University,1
0,102.0,0.0,150.0,165.0,3.0,0.808,OE,5,Virginia Polytechnic Institute and State University,1
0,111.0,0.0,148.0,167.0,4.0,0.8939999999999999,OE,2,Virginia Polytechnic Institute and State University,1
0,117.0,0.0,152.0,170.0,5.5,0.79,EE,3,Virginia Polytechnic Institute and State University,1
0,107.0,0.0,165.0,167.0,4.0,0.754,OE,4,Virginia Polytechnic Institute and State University,1
0,112.0,0.0,158.0,168.0,5.0,0.9,OE,3,Virginia Polytechnic Institute and State University,1
0,116.0,0.0,157.0,170.0,4.5,0.62,CS,3,Virginia Polytechnic Institute and State University,1
0,107.0,12.0,152.0,170.0,3.5,0.85,CS,3,Virginia Polytechnic Institute and State University,1
0,114.0,0.0,160.0,170.0,5.0,0.788,OE,3,Virginia Polytechnic Institute and State University,1
0,112.0,0.0,154.0,170.0,3.0,0.776,CS,3,Virginia Polytechnic Institute and State University,1
0,110.0,0.0,151.0,164.0,4.0,0.9339999999999999,OE,3,Virginia Polytechnic Institute and State University,1
0,114.0,0.0,168.0,170.0,5.0,0.86,EE,3,Virginia Polytechnic Institute and State University,1
0,102.0,0.0,148.0,170.0,3.5,0.6900000000000001,CS,3,Virginia Polytechnic Institute and State University,1
0,101.0,0.0,145.0,170.0,3.5,0.852,OE,3,Virginia Polytechnic Institute and State University,1
0,113.0,0.0,136.0,170.0,3.0,0.37,OE,3,Virginia Polytechnic Institute and State University,1
0,112.0,0.0,159.0,170.0,3.5,0.795,CS,3,Virginia Polytechnic Institute and State University,1
0,110.0,0.0,153.0,160.0,4.0,0.8960000000000001,CS,3,Virginia Polytechnic Institute and State University,1
0,115.0,0.0,155.0,164.0,4.5,0.8300000000000001,OE,3,Virginia Polytechnic Institute and State University,1
0,106.0,0.0,146.0,170.0,4.5,0.8009999999999999,OE,3,Virginia Polytechnic Institute and State University,1
0,103.0,6.0,156.0,166.0,3.5,0.78,EE,3,Virginia Polytechnic Institute and State University,1
0,100.0,2.0,150.0,160.0,4.0,0.794,OE,3,Virginia Polytechnic Institute and State University,1
0,105.0,0.0,136.0,170.0,4.0,0.9199999999999999,OE,3,Virginia Polytechnic Institute and State University,1
0,110.0,0.0,151.0,170.0,4.0,0.88,CS,2,Virginia Polytechnic Institute and State University,1
6,104.0,6.0,158.0,164.0,3.5,0.9179999999999999,OE,3,Virginia Polytechnic Institute and State University,1
0,97.0,0.0,148.0,170.0,3.0,0.9925,EE,5,Virginia Polytechnic Institute and State University,1
0,109.0,0.0,155.0,170.0,3.5,0.8,OE,3,Virginia Polytechnic Institute and State University,1
10,116.0,1.0,167.0,170.0,4.0,0.585,CS,3,Virginia Polytechnic Institute and State University,1
0,114.0,0.0,158.0,170.0,4.5,0.8,CS,3,Virginia Polytechnic Institute and State University,1
0,110.0,0.0,155.0,170.0,4.0,0.89,OE,3,Virginia Polytechnic Institute and State University,1
0,101.0,0.0,145.0,170.0,3.5,0.8460000000000001,CS,5,Virginia Polytechnic Institute and State University,1
0,117.0,0.0,158.0,170.0,3.5,0.8960000000000001,OE,2,Virginia Polytechnic Institute and State University,1
0,114.0,0.0,166.0,166.0,4.0,0.816,CS,3,Virginia Polytechnic Institute and State University,1
0,114.0,6.0,155.0,167.0,4.0,0.782,CS,2,Virginia Polytechnic Institute and State University,1
0,113.0,0.0,157.0,164.0,5.0,0.8230000000000001,OE,3,Virginia Polytechnic Institute and State University,1
0,101.0,2.0,153.0,162.0,4.0,0.959,EE,3,Virginia Polytechnic Institute and State University,1
15,118.0,9.0,155.0,168.0,4.0,0.7030000000000001,OE,3,Virginia Polytechnic Institute and State University,1
0,109.0,0.0,162.0,170.0,4.5,0.79,OE,3,Virginia Polytechnic Institute and State University,1
0,108.0,0.0,159.0,162.0,3.5,0.9400000000000001,CS,3,Virginia Polytechnic Institute and State University,1
2,113.0,6.0,154.0,163.0,4.0,0.9,CS,3,Virginia Polytechnic Institute and State University,1
0,114.0,0.0,157.0,164.0,4.0,0.795,EE,2,Virginia Polytechnic Institute and State University,1
0,107.0,0.0,151.0,170.0,3.5,0.0874,CS,3,Virginia Polytechnic Institute and State University,1
0,112.0,0.0,170.0,170.0,4.0,0.8470000000000001,EE,2,Virginia Polytechnic Institute and State University,1
0,111.0,0.0,157.0,164.0,3.5,0.8960000000000001,OE,3,Virginia Polytechnic Institute and State University,1
